PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
USA,1,2016,13,b,75,10,12603,O,O
USA,1,2016,13,b,85,+,16729,O,O
USA,1,2016,13,b,TOT,.,53980,O,O
USA,1,2016,14,b,0,25,1274,O,O
USA,1,2016,14,b,25,20,2606,O,O
USA,1,2016,14,b,45,20,10750,O,O
USA,1,2016,14,b,65,10,10064,O,O
USA,1,2016,14,b,75,10,12664,O,O
USA,1,2016,14,b,85,+,16812,O,O
USA,1,2016,14,b,TOT,.,54170,O,O
USA,1,2016,15,b,0,25,1212,O,O
USA,1,2016,15,b,25,20,2578,O,O
USA,1,2016,15,b,45,20,10613,O,O
USA,1,2016,15,b,65,10,10167,O,O
USA,1,2016,15,b,75,10,12292,O,O
USA,1,2016,15,b,85,+,16741,O,O
USA,1,2016,15,b,TOT,.,53603,O,O
USA,1,2016,16,b,0,25,1203,O,O
USA,1,2016,16,b,25,20,2605,O,O
USA,1,2016,16,b,45,20,10376,O,O
USA,1,2016,16,b,65,10,9826,O,O
USA,1,2016,16,b,75,10,12458,O,O
USA,1,2016,16,b,85,+,16786,O,O
USA,1,2016,16,b,TOT,.,53254,O,O
USA,1,2016,17,b,0,25,1229,O,O
USA,1,2016,17,b,25,20,2365,O,O
USA,1,2016,17,b,45,20,10057,O,O
USA,1,2016,17,b,65,10,9682,O,O
USA,1,2016,17,b,75,10,11917,O,O
USA,1,2016,17,b,85,+,15912,O,O
USA,1,2016,17,b,TOT,.,51162,O,O
USA,1,2016,18,b,0,25,1247,O,O
USA,1,2016,18,b,25,20,2474,O,O
USA,1,2016,18,b,45,20,10198,O,O
USA,1,2016,18,b,65,10,9693,O,O
USA,1,2016,18,b,75,10,11947,O,O
USA,1,2016,18,b,85,+,15814,O,O
USA,1,2016,18,b,TOT,.,51373,O,O
USA,1,2016,19,b,0,25,1267,O,O
USA,1,2016,19,b,25,20,2609,O,O
USA,1,2016,19,b,45,20,10120,O,O
USA,1,2016,19,b,65,10,9472,O,O
USA,1,2016,19,b,75,10,11793,O,O
USA,1,2016,19,b,85,+,15847,O,O
USA,1,2016,19,b,TOT,.,51108,O,O
USA,1,2016,20,b,0,25,1236,O,O
USA,1,2016,20,b,25,20,2474,O,O
USA,1,2016,20,b,45,20,10014,O,O
USA,1,2016,20,b,65,10,9469,O,O
USA,1,2016,20,b,75,10,11666,O,O
USA,1,2016,20,b,85,+,15695,O,O
USA,1,2016,20,b,TOT,.,50554,O,O
USA,1,2016,21,b,0,25,1298,O,O
USA,1,2016,21,b,25,20,2605,O,O
USA,1,2016,21,b,45,20,9891,O,O
USA,1,2016,21,b,65,10,9421,O,O
USA,1,2016,21,b,75,10,11756,O,O
USA,1,2016,21,b,85,+,15615,O,O
USA,1,2016,21,b,TOT,.,50586,O,O
USA,1,2016,22,b,0,25,1307,O,O
USA,1,2016,22,b,25,20,2518,O,O
USA,1,2016,22,b,45,20,10185,O,O
USA,1,2016,22,b,65,10,9360,O,O
USA,1,2016,22,b,75,10,11306,O,O
USA,1,2016,22,b,85,+,15147,O,O
USA,1,2016,22,b,TOT,.,49823,O,O
USA,1,2016,23,b,0,25,1314,O,O
USA,1,2016,23,b,25,20,2639,O,O
USA,1,2016,23,b,45,20,10003,O,O
USA,1,2016,23,b,65,10,9486,O,O
USA,1,2016,23,b,75,10,11457,O,O
USA,1,2016,23,b,85,+,15127,O,O
USA,1,2016,23,b,TOT,.,50026,O,O
USA,1,2016,24,b,0,25,1359,O,O
USA,1,2016,24,b,25,20,2582,O,O
USA,1,2016,24,b,45,20,9932,O,O
USA,1,2016,24,b,65,10,9514,O,O
USA,1,2016,24,b,75,10,11347,O,O
USA,1,2016,24,b,85,+,15261,O,O
USA,1,2016,24,b,TOT,.,49995,O,O
USA,1,2016,25,b,0,25,1222,O,O
USA,1,2016,25,b,25,20,2662,O,O
USA,1,2016,25,b,45,20,9948,O,O
USA,1,2016,25,b,65,10,9342,O,O
USA,1,2016,25,b,75,10,11576,O,O
USA,1,2016,25,b,85,+,14968,O,O
USA,1,2016,25,b,TOT,.,49718,O,O
USA,1,2016,26,b,0,25,1282,O,O
USA,1,2016,26,b,25,20,2603,O,O
USA,1,2016,26,b,45,20,10007,O,O
USA,1,2016,26,b,65,10,9255,O,O
USA,1,2016,26,b,75,10,11568,O,O
USA,1,2016,26,b,85,+,15129,O,O
USA,1,2016,26,b,TOT,.,49844,O,O
USA,1,2016,27,b,0,25,1216,O,O
USA,1,2016,27,b,25,20,2744,O,O
USA,1,2016,27,b,45,20,10207,O,O
USA,1,2016,27,b,65,10,9363,O,O
USA,1,2016,27,b,75,10,11292,O,O
USA,1,2016,27,b,85,+,14967,O,O
USA,1,2016,27,b,TOT,.,49789,O,O
USA,1,2016,28,b,0,25,1264,O,O
USA,1,2016,28,b,25,20,2735,O,O
USA,1,2016,28,b,45,20,9942,O,O
USA,1,2016,28,b,65,10,9290,O,O
USA,1,2016,28,b,75,10,11424,O,O
